Timestamp of satellite,Date conversion (hide),Date manipulation (hide),Time conversion (hide),Real time stamp (UTC),OBC_TEMP (C) (hide),OBC_TEMP_1 (C) ,OBC_TEMP_2 (C) ,COM_TEMP (Cx10) (hide),COM_TEMP_1 (C) ,COM_TEMP_2 (C) ,EPS_TEMP (C) ,BATT_VOLT (V),PV_CURR (mA),BATT_CURR (mA),"BATT_MODE (3=NORMAL, 4=FULL)",PV_VOLT (mV) (hide),PV_VOLT_1 (V),PV_VOLT_2 (V),PV_VOLT_3 (V)
34:49.1,1/1/1970,1/1/1970,1:34:49 AM,5/11/2018 12:05,12.80/13.20,12.8,13.2,123/123,12.3,12.3,11,8.295,200,79,3,2751/2772/2754,2.751,2.772,2.754
35:07.8,1/1/1970,1/1/1970,1:35:08 AM,5/11/2018 12:05,12.80/13.20,12.8,13.2,122/123,12.2,12.3,11,8.295,200,79,3,2278/2290/2262,2.278,2.29,2.262
35:17.1,1/1/1970,1/1/1970,1:35:17 AM,5/11/2018 12:05,12.80/13.20,12.8,13.2,122/123,12.2,12.3,11,8.304,200,79,4,2741/2737/2754,2.741,2.737,2.754
35:26.5,1/1/1970,1/1/1970,1:35:26 AM,5/11/2018 12:05,12.80/13.10,12.8,13.1,122/123,12.2,12.3,11,8.304,200,79,3,2010/2040/2050,2.01,2.04,2.05
28:33.5,1/1/1970,1/1/1970,2:28:33 AM,5/11/2018 12:58,25.30/25.80,25.3,25.8,245/246,24.5,24.6,21,8.248,0,79,3,340/342/350,0.34,0.342,0.35
28:52.2,1/1/1970,1/1/1970,2:28:52 AM,5/11/2018 12:59,25.30/25.70,25.3,25.7,244/245,24.4,24.5,21,8.248,0,79,3,340/342/350,0.34,0.342,0.35
16:39.5,1/1/1970,1/1/1970,4:16:40 AM,5/11/2018 14:46,18.70/19.10,18.7,19.1,183/183,18.3,18.3,16,8.223,0,79,3,321/323/331,0.321,0.323,0.331
16:48.9,1/1/1970,1/1/1970,4:16:49 AM,5/11/2018 14:47,18.60/19.00,18.6,19,182/183,18.2,18.3,16,8.223,0,79,3,321/323/331,0.321,0.323,0.331

